asin,units_30d,CES,Ensemble,LSTM,LightGBM,MA7,NGBoost,NHITS,PatchTST,SeasonalNaive,XGBoost
B08QR3CRBG,5,5.292605444788933,18.085587736384785,11.28754292,28.356297210193887,4.285714285714284,26.510061596413244,31.37718033,17.023492671,4.0,6.751933932304381
B08QVQGKRG,0,25.59680473804474,9.495849955727671,0.35301358499999996,26.868346022319784,0.0,7.6479384017965355,0.01963447042,0.702692486,0.0,5.282519981265067
B08S22J84V,454,122.53404498100281,270.3294212253706,732.3023155,216.1424352234034,137.14285714285714,202.11481135261891,330.4913729,135.9570911,138.0,152.76387310028076
B08WK22KBJ,15,1.043910093489102,9.721397834260891,21.18528689,27.373944189253702,4.285714285714284,7.064831611704182,3.711321348,1.8176278000000001,5.0,5.852863043546676
B08WKRZ867,4,1.035201672464609,13.328211027929484,8.84430873,27.638155367342904,8.571428571428571,8.187601784593678,35.60158026,6.078917257,10.0,5.911712110042571
B08WT2NWBV,0,1.6066405177116387,6.812208300980084,3.95409035,26.86967544555132,0.0,7.764776835908916,0.349092842314,1.8586621030000001,0.0,5.282519981265067
B08WT2QX8T,61,27.738097071880475,40.314290531565284,35.17670522,57.55955399148597,68.57142857142857,56.81058435207907,35.6948431,29.64740078,72.0,39.57284915447235
B08WT2YR61,454,8.53884056583047,159.29800471482457,380.775629,112.64020089822428,184.2857142857143,142.209820924521,238.9036243,163.0781153,211.0,68.93980395793915
B08WT87J58,62,19.848836064338684,27.32717760868928,42.46027408,36.2418129687526,51.42857142857142,28.610099224510265,8.39284697,20.07649581,55.0,35.65987813472748
B08WT9L8QX,79,19.11957391537726,46.518842937084294,110.0718442,37.91063311406388,25.71428571428571,38.01955701834626,32.8992799,49.32331344,25.0,38.28769838809967
B08WTCQ3L4,70,29.14870224520564,33.90766350953086,30.15135176,37.31052070533351,25.71428571428571,38.24830273685865,33.1531948,31.79680349,25.0,37.54476869106293
B08WTCXHGH,0,1.4480946578551077,6.352624381560226,2.12601576,26.868346022319784,0.0,7.6479384017965355,0.059460401100000004,1.0359954292,0.0,5.282519981265067
B08WTG63BD,365,130.26414585113525,233.83617110100047,311.1145878,238.09343833183658,282.8571428571429,229.74266762406805,270.856227,221.8873097,297.0,234.89481687545776
B08WTHJJ66,28,8.598845031112432,13.913200906225152,32.03462112,29.110343925525775,8.571428571428571,8.452713827825296,0.944646358,10.70753856,8.0,7.543697476387023
B08WTHXMG6,183,97.12804430909455,98.95248921152397,101.2230704,108.34451513788927,120.0,112.51562087303175,67.4147154,116.83358679999999,123.0,89.20787215232849
B08WTM4CNK,43,34.137028470635414,45.38937401300897,26.25445118,57.45354427687788,51.42857142857142,80.48718422046443,23.69903646,54.8455033,52.0,40.848870158195496
B08WTM61R4,37,71.12061993032694,63.31933689639522,17.6426932,83.09867968495415,68.57142857142857,90.86510500901089,51.6343154,73.417219,68.0,55.45672631263733
B08WTNY5XB,199,180.10869608074427,188.4610140952416,143.8749163,220.28924933461516,132.85714285714286,208.6039542671857,180.1787022,178.6137885,130.0,207.55779123306274
B08WTPXXBW,205,91.29557974636555,118.77922862892252,116.16287319999999,127.34981859020907,158.57142857142856,123.88163219970266,117.6902049,141.9111157,162.0,113.16337704658508
B08WTR3FF9,11,1.4328176118433469,8.504710063778179,13.7047293,26.772766055264473,0.0,6.961684373767495,0.2638950346,4.964149141,0.0,5.432929053902625
